name|a|b
ขวัญใจ|khwanRjaiM|Kwanjai;Qwan-jai[aThaifemalegivenname](darling,sweetheart,favorite,beloved)
มาลี|maaMleeM|Malee[aThaifemalegivenname](flower)
มะลิ|maHliH|Mali[acommonThaifemalename]Jasamine
มณี|maHneeM|Manee[aThaifemalegivennameornickname](jewels,preciousstones)
มาณี|maaMneeM|Manee[aThaifemalegivenname]
มานิจ|maaMnitH|Manit[aThaigivenname]
มโน|maHno:hM|Mano[aThaigivenname](heart,mind)
มณู|maHnuuM|Manoo[aThaimalegivenname]
มนู|maHnuuM|Manu[aThaimalegivenname]
มานิตย์|maaMnitH|Marnit[aThainame]
มารวย|maaMruayM|Maruai[aThaigivenname]
มงคล|mohngMkhohnM|Mongkhon[aThaimalegivennamemeaning"auspicious"]
มนตรี|mohnMdtreeM|Montri[aThaigivenname]
มุกดา|mookHdaaM|Mukda[aThaigivenname]
นาค|naakF|Naak[aThaigivennameornickname](fabulousserpent)
นัยนา|naiMyaHnaaM|Naiyana[aThaifemalegivenname](eye)
นาก|naakF|Nak;Naak;Naag[aThaifemalegivennameornickname](gold,silver,andcopper)
เนาวรัตน์|naoMwaHratH|Naowarat[amaleorfemalegivenname](ninegems)
นภสร|naHphaHsaawnR|Napasorn[aThaigivenname]
นารี|naaMreeM|Naree[aThaifemalegivenname]
นรินทร์ศักดิ์|naHrinMsakL|Narinsak[aThaimalegivenname]
นริศา|naHriHsaaR|Narisa[aThaifemalegivenname]
ณรงค์ศักดิ์|naHrohngMsakL|Narongsak[aThaigivenname]
นฤมล|naHreuHmohnM|Naruemol[aThaigivenname]
ณัฏฐสิทธิ์|natHthaLsitL|Nattasit[Thaimalegivenname]
นววรรณ|naHwaHwanM|Nawawan[aThaigivenname]
ณี|neeM|Nee[aThaifemalegivennameornickname]
หนิว|niuR|Niew[aThaifemalegivenname](bee)
นีราชา|neeMraaMchaaM|Niracha[aThaifemalegivenname]
นิตยา|nitHdtaLyaaM|Nittaya[aThaigivenname]
